Domain,Knowledge-seeking vs. Eval,Nerd factor/zu spezifisch,Validation Nerd Factor,Higher-level RQ,Distinguished,Bucket ID,Paper Name,Research Questions (max. 4),Notiz,Suitability Tendenz,Authors,URL
"AI and software engineering, Auto-coding",Evaluation,,,,FALSE,,Predicting Performance and Accuracy of Mixed-Precision Programs for Precision Tuning,,,,"Yutong Wang, Cindy Rubio-González",No URL available
"AI and software engineering, Auto-coding",Evaluation,,,,FALSE,,UniLog: Automatic Logging via LLM and In-Context Learning,,,,"Junjielong Xu, Ziang Cui, Yuan Zhao, Xu Zhang, Shilin He, Pinjia He, Liqun Li, Yu Kang, Qingwei Lin, Yingnong Dang, Saravan Rajmohan, Dongmei Zhang",No URL available
"AI and software engineering, Auto-coding",Evaluation,,,,FALSE,,Leveraging Feature Bias for Scalable Misprediction Explanation of Machine Learning Models,,,,"Jiri Gesi, Xinyun Shen, Yunfan Geng, Qihong Chen, Iftekhar Ahmed",No URL available
"AI and software engineering, Auto-coding",Evaluation,,,,FALSE,,Xpert: Empowering Incident Management with Query Recommendations via Large Language Models,,,,"Yuxuan Jiang, Chaoyun Zhang, Shilin He, Zhihao Yang, Minghua Ma, Si Qin, Yu Kang, Yingnong Dang, Saravan Rajmohan, Qingwei Lin, Dongmei Zhang",No URL available
"AI and software engineering, Auto-coding",Evaluation,,,,FALSE,,FedDebug: Systematic Debugging for Federated Learning Applications,,,,"Waris Gill, Ali Anwar, Muhammad Ali Gulzar",No URL available
"AI and software engineering, Auto-coding",Evaluation,,,,FALSE,,Revisiting Neural Program Smoothing for Fuzzing,,,,"Maria Irina Nicolae, Max Eisele, Andreas Zeller",No URL available
"AI and software engineering, Auto-coding",Evaluation,,,,FALSE,,Keeping Pace with Ever-Increasing Data: Towards Continual Learning of Code Intelligence Models,,,,"Shuzheng Gao, Hongyu Zhang, Cuiyun Gao, Chaozheng Wang",No URL available
Dependability and Security,Evaluation,-,,,FALSE,-,BFTDetector: Automatic Detection of Business Flow Tampering for Digital Content Service,,,,"I Luk Kim, Weihang Wang, Yonghwi Kwon, Xiangyu Zhang",No URL available
Dependability and Security,,-,,,FALSE,-,Improving Smart Contract Security with Contrastive Learning-based Vulnerability Detection,,,,"Yizhou Chen, Zeyu Sun, Zhihao Gong, Dan Hao",No URL available
Dependability and Security,,-,,,FALSE,-,Precise (Un)Affected Version Analysis for Web Vulnerabilities,,,,"ShiYoukun, Yuan Zhang, Tianhan Luo, Xiangyu Mao, Min Yang",No URL available
Dependability and Security,,-,,,FALSE,-,GLITCH: Automated Polyglot Security Smell Detection in Infrastructure as Code,,,,"Nuno Saavedra, João F. Ferreira",No URL available
Dependability and Security,,-,,,FALSE,-,FedSlice: Protecting Federated Learning Models from Malicious Participants with Model Slicing,,,,"Ziqi Zhang, Yuanchun Li, Bingyan Liu, Yifeng Cai, Ding Li, Yao Guo, Xiangqun Chen",No URL available
Dependability and Security,,-,,,FALSE,-,An Empirical Study of Automation in Software Security Patch Management,,,,"Nesara Dissanayake, Asangi Jayatilaka, Mansooreh Zahedi, Muhammad Ali Babar",No URL available
Dependability and Security,,-,,,FALSE,-,Reentrancy Vulnerability Detection and Localization: A Deep Learning Based Two-phase Approach,,,,"Zhuo Zhang, Yan Lei, Meng Yan, Yue Yu, Jiachi Chen, Shangwen Wang, Xiaoguang Mao",No URL available
Dependability and Security,,-,,,FALSE,-,Scalable Relational Analysis via Relational Bound Propagation,,,,"Clay Stevens, Hamid Bagheri",No URL available
Dependability and Security,,-,,,FALSE,-,Are They Toeing the Line? Diagnosing Privacy Compliance Violations among Browser Extensions,,,,"Yuxi Ling, Kailong Wang, Guangdong Bai, Haoyu Wang, Jin Song Dong",No URL available
Dependability and Security,,-,,,FALSE,-,Understanding Transaction Bugs in Database Systems,,,,"Ziyu Cui, Wensheng Dou, Yu Gao, Dong Wang, Jiansen Song, Yingying Zheng, Tao Wang, Rui Yang, Kang Xu, Yixin Hu, Jun Wei, Tao Huang",No URL available
Dependability and Security,,-,,,FALSE,-,Scrutinizing Privacy Policy Compliance of Virtual Personal Assistant Apps,,,,"Fuman Xie, Yanjun Zhang, Chuan Yan, Suwan Li, Lei Bu, Kai Chen, Zi Huang, Guangdong Bai",No URL available
Dependability and Security,,-,,,FALSE,-,ThirdEye: Attention Maps for Safe Autonomous Driving Systems,,,,"Andrea Stocco, Paulo J. Nunes, Marcelo d'Amorim, Paolo Tonella",No URL available
Dependability and Security,,-,,,FALSE,-,VGX: Large-Scale Sample Generation for Boosting Learning-Based Software Vulnerability Analyses,,,,"Yu Nong, Richard Fang, Guangbei Yi, Kunsong Zhao, Xiapu Luo, Feng Chen, Haipeng Cai",No URL available
Dependability and Security,Evaluation,-,,,FALSE,-,GPTScan: Detecting Logic Vulnerabilities in Smart Contracts by Combining GPT with Program Analysis,,,,"Yuqiang Sun, Daoyuan Wu, Yue Xue, Han Liu, Haijun Wang, Zhengzi Xu, Xiaofei Xie, Yang Liu",No URL available
Dependability and Security,Evaluation,-,,,FALSE,-,Bad Snakes: Understanding and Improving Python Package Index Malware Scanning,,,,"Duc Ly Vu, Zachary Newman, John Speed Meyers",No URL available
Dependability and Security,Evaluation,-,,,FALSE,-,Investigating Documented Privacy Changes in Android OS,,,,"Chuan Yan, Mark Huasong Meng, Fuman Xie, Guangdong Bai",No URL available
Dependability and Security,Evaluation,-,,,FALSE,-,Combining Structured Static Code Information and Dynamic Symbolic Traces for Software Vulnerability Prediction,,,,"Huanting Wang, Zhanyong Tang, Shin Hwei Tan, Jie Wang, Yuzhe Liu, Hejun Fang, Chunwei Xia, Zheng Wang",No URL available
