Domain,Knowledge-seeking vs. Eval,Nerd factor/zu spezifisch,Validation Nerd Factor,Higher-level RQ,Distinguished,Bucket ID,Paper Name,Research Questions (max. 4),Notiz,Suitability Tendenz,Authors,URL
"AI and software engineering, Auto-coding",Evaluation,0,0,[Tool description]  How would you evaluate this tool/method?,TRUE,B2,Improving the Learning of Code Review Successive Tasks with Cross-Task Knowledge Distillation,"RQ1: Accuracy on code refinement
How does the code refinement model, guided by the quality estimation model, perform compared
to baseline models?
• RQ2: Accuracy on comment generation
How does the comment generation model, guided by the code refinement model (and the
embedding alignment), perform compared to baseline models?
• RQ3: Effect of the embedding alignment objective
Considering that the inclusion of the embedding has an effect on the training cost, do we have
similar results without considering the embedding?
• RQ4: Training time of DISCOREV
What is the additional time of the joint training compared to baseline models?",Tool Evaluation,-1,"Oussama Ben Sghaier, Houari Sahraoui",No URL available
"AI and software engineering, Auto-coding",Knowledge-seeking,-1,0,,TRUE,B1,Can Machine Learning Pipelines Be Better Configured?,"• RQ1 (Common ML Library Combinations): What combinations of ML libraries do developers commonly use? To answer
RQ1, we collect 11,363 published ML pipelines and analyze their
library usage to identify common library combinations.
• RQ2 (Impacts of Different ML Library Version Combinations): Do different version combinations of ML libraries
affect pipelines’ performances? To answer RQ2, for each ML
pipeline, we generate a series of variants with different ML library
version combinations to inspect their performance inconsistencies. In particular, we define the generation rules of ML library
version combinations, to systematically explore their impacts on
pipelines’ performances.
• RQ3 (Root Causes of Performance Inconsistencies): What
are the root causes of pipelines’ performance inconsistencies when adopting different version combinations of ML
libraries? To answer RQ3, we consider the pipeline variants that
induce (1) significant performance inconsistencies, (2) crashes
and (3) NaN bugs as subjects, to analyze the corresponding root
causes and triggering conditions.",Repoistory Mining,1,"Yibo Wang, Ying Wang, Tingwei Zhang, Yue Yu, Shing-Chi Cheung, Hai Yu, Zhiliang Zhu",No URL available
"AI and software engineering, Auto-coding",Knowledge-seeking,-1 (MSF?),1,,TRUE,-,Benchmarking Robustness of AI-enabled Multi-sensor Fusion Systems: Challenges and Opportunities,"RQ1. HowdoAI-enabled MSF-based perception systems perform against common corrupted signals?
RQ2. Howsensitive is AI-enabled MSF when facing spatial and temporal misalignment of sensors?
RQ3. Towhatextent are existing sensing components coupled of an AI-enabled MSF system?
RQ4. What is the weakness of di erent AI-enabled MSF mechanisms and is it possible to repair them?",Erklärungsbedarf für MSF; sehr spezifisch,-1,"Xinyu Gao, Zhijie Wang, Yang Feng, Lei Ma, Zhenyu Chen, Baowen Xu",No URL available
"AI and software engineering, Auto-coding",Evaluation,-1 (NLL?),1,,FALSE,-,An Empirical Study on Noisy Label Learning for Program Understanding,"RQ1:Howdodifferenttypes of synthetic label noises in program classification affect the performance of deep learning models when NLL is not introduced? • 
RQ2:Howdoexisting NLL approaches perform on different synthetic noises in program classification? 
• RQ3:HowdoNLLapproaches perform on program understanding tasks with real-world noises?",Methodenevaluierung,-1,"Wenhan Wang, Yanzhou Li, Anran Li, Jian Zhang, Wei Ma, Yang Liu",No URL available
"AI and software engineering, Auto-coding",Evaluation,0,0,,FALSE,B2,EGFE: End-to-end Grouping of Fragmented Elements in UI Designs with Multimodal Learning,"RQ1:(Elements Classification Performance) How does the EGFE perform compared to the state-of-the-art image classification baselines? 
RQ2:(FragmentedElementsGroupingPerformance)What’s the performance of EGFE on fragmented elements grouping? 
RQ3:(Multimodal UI Features Performance) How does each individual feature in EGFE improve the overall performance?",Tool Evaluation,-1,"Liuqing Chen, Yunnong Chen, Shuhong Xiao, Yaxuan Song, Lingyun Sun, Yankun Zhen, Tingting Zhou, Yanfang Chang",No URL available
"AI and software engineering, Auto-coding",Evaluation,"-1 (stabilization, DPLL, isolation&combination???)",1,,FALSE,-,Harnessing Neuron Stability to Improve DNN Verification,"RQ1(§6.1): How does stabilization impact the performance of DPLL(T)-based DNN veri cation? 
RQ2(§6.2): HowdoVeriStableoptimizationsimproveperformanceinisolationandcombination? 
RQ3(§6.3): How does VeriStable compare to state-of-the-art DNN veri ers?",Very ML specifiv,0,"Hai Duong, Dong Xu, ThanhVu Nguyen, Matthew B Dwyer",No URL available
Testing and analysis,Evaluation,-1 (braucht man Accounting Wissen?),1,,TRUE,-,Towards Finding Accounting Errors in Smart Contracts,"• RQ1.How effective is ScType indisclosingaccountingbugs? 
• RQ2.Howefficient is ScType? 
• RQ3.Whatarethecategoriesanddistributionsofaccounting bugs? 
• RQ4.Whatis the capacity of our type system?",Tool Evaluation,-1,Brian Zhang,No URL available
Testing and analysis,Evaluation,-1 (blocking errors?? -> Go Wissen notwendig?),-1,,TRUE,-,Detecting Blocking Errors in Go Programs using Localized Abstract Interpretation,"RQ1: What is the precision of the analysis for detecting blocking errors in real-world Go programs? 
RQ2: How does the analysis accuracy compare to that of the state-of-the-art Go concurrency bug detection tools GCatch [14] and GFuzz [13]? 
RQ3: Does the analysis scale to large code bases? RQ4: Are the central design choices (treatment of loops and thread scheduling) important for the analysis accuracy and performance?",Tool Evaluation,-1,"Oskar Haarklou Veileborg, Georgian-Vlad Saioc, Anders Møller",No URL available
Testing and analysis,Evaluation,"-1 ( compiler fuzzing, partial operator??)",1,,TRUE,-,NeuRI: Diversifying DNN Generation via Inductive Rule Inference,"• RQ1(§5.2): How does NeuRI compare against state of the art in DL compiler fuzzing in terms of code coverage? 
• RQ2 (§ 5.3): How many APIs, partial operators and records are collected and eventually inferred with operator rules? How e cient and e ective is our rule synthesizer compared with general-purpose program synthesis tools such as Rosette [48]? 
• RQ3(§5.4): How e ective is NeuRI when detecting previously unknown bugs for real-world DL compilers?",Tool Evaluation,-1,"Jiawei Liu, Jinjun Peng, Yuyao Wang, Lingming Zhang",No URL available
Testing and analysis,Knowledge-seeking,-1 (kein Rust unsafe Wissen),wahrscheinlich 1,,FALSE,-,Is unsafe an Achilles' Heel? A Comprehensive Study of Safety Requirements in Unsafe Rust Programming,"RQ-1.Whatfiner-grainedsafetyproperties(requirements)should be satisfied across the Unsafe Rust boundary? (§3) 
• RQ-2. Can those safety properties cover existing vulnerabilities caused by Unsafe Rust? (§4) 
• RQ-3. How helpful are those safety properties for real-world Unsafe Rust programming? (§5)",Rust sepecific; evtl. RQ3,-1,"Mohan Cui, Mohan Cui, Shuran Sun, Hui Xu, Yangfan Zhou",No URL available
