Domain,Knowledge-seeking vs. Eval,Nerd factor/zu spezifisch,Validation Nerd Factor,Higher-level RQ,Distinguished,Bucket ID,Paper Name,Research Questions (max. 4),Notiz,Suitability Tendenz,Authors,URL
"AI and software engineering, Auto-coding",Evaluation,0,-1,,TRUE,-,LExecutor: Learning-Guided Execution,"RQ1:Howaccurateistheneuralmodelatpredictingrealistic runtimevalues? 
•RQ2:HowmuchcodedoesanexecutionguidedbyLExecutor cover,andhowdoesthecoveragecomparetoalternative waysofexecutingthecode? 
•RQ3:Howeffcientis“lexecuting”code? 
•RQ4:Asanapplicationoftheapproach,canweuseLExecutortoidentifysemantics-changingcommits?",,,"Beatriz Souza, Michael Pradel",No URL available
"AI and software engineering, Auto-coding",,,,,TRUE,-,Improving the Learning of Code Review Successive Tasks with Cross-Task Knowledge Distillation,,bereits gelabelt,,"Oussama Ben Sghaier, Houari Sahraoui",No URL available
"AI and software engineering, Auto-coding",,,,,TRUE,-,Benchmarking Robustness of AI-enabled Multi-sensor Fusion Systems: Challenges and Opportunities,,bereits gelabelt,,"Xinyu Gao, Zhijie Wang, Yang Feng, Lei Ma, Zhenyu Chen, Baowen Xu",No URL available
"AI and software engineering, Auto-coding",Evaluation,0,1,,FALSE,-,Compressing Pre-trained Models of Code into 3 MB,"RQ1: Can Compressor result in small accuracy loss when extremely compressing the pre-trained models? 
• RQ2: How much efficiency improvement can the compressed models obtain? 
• RQ3:HowfastisCompressor incompressingpre-trainedmodels?",,,"Jieke Shi, Zhou Yang, Bowen Xu, Hong Jin Kang, David Lo",No URL available
"AI and software engineering, Auto-coding",Evaluation,0,0,,FALSE,B2,PyEvolve: Automating Frequent Code Changes in Python ML Systems,"RQ1. What is the effectiveness of PYEVOLVE in generating correct code transformations? We conduct crossvalidation to determine that PYEVOLVE correctly transforms
code by replicating real-world CPATs. We report PYEVOLVE’s
overall effectiveness by its precision and recall.
RQ2. What is the contribution of data- and control- flow
aware rule inference to overall effectiveness? To perform
this analysis, we report the number of changes that would be
impossible to perform without the features in PYEVOLVE.
RQ3. How do developers find PYEVOLVE’s changes useful? To answer this, we submit pull requests to open-source
projects containing patches generated by PYEVOLVE and
record the developers’ responses.",,,"Malinda Dilhara, Danny Dig, Ameya Ketkar",No URL available
"AI and software engineering, Auto-coding",Evaluation,0,0,,FALSE,B2,[Remote] CodeMark: Imperceptible Watermarking for Code Datasets against Neural Code Completion Models,"RQ1: How is the model accuracy affected after being watermarked by CodeMark? 
• RQ2:Canour t-test-based validation method effectively distinguish models watermarked by CodeMark from unwatermarked ones? 
• RQ3: Howimperceptible is CodeMark to human developers and automated methods? 
• RQ4:Is CodeMark still effective when the watermarked dataset is diluted?",,,"Zhensu Sun, Xiaoning Du, Fu Song, Li Li",No URL available
Testing and analysis,Evaluation,0,1,,TRUE,-,Baldur: Whole-Proof Generation and Repair with Large Language Models,"RQ1: Howeffective are LLMs at generating whole proofs? LLMs outperform small-model-driven search-based methods. Baldur (without repair) is able to generate whole proofs for 47.9% of the theorems completely automatically, whereas search-based approaches prove 39.0% [37]. 
RQ2: Can LLMs be used to repair proofs? LLMscanrepairproofs, including their own erroneous proof attempts. Baldur proves an additional 1.5% of the theorems when given access to a previous erroneous proof attempt and the error messages produced by the proof assistant, even when controlling for the computational cost of the additional inference. The error message is crucial for this improvement. 
RQ3: Can LLMs benefit from using the context of the theorem? In-context learning is remarkably effective for LLMbased theoremproving.Withcontext, Baldur proves 47.5% of the theorems, but only 40.7% without context for the same model size. 
RQ4: DoesthesizeoftheLLMaffectproofsynthesiseffectiveness? Larger LLMs do perform better, suggesting that our approach will continue to improve with further developments in LLM research.",,,"Emily First, Markus Rabe, Talia Ringer, Yuriy Brun",No URL available
Testing and analysis,Knowledge-seeking,0,0,,TRUE,B3,Understanding and Detecting On-the-Fly Configuration Bugs,"RQ1: What are the common symptoms of OCBugs? 
 RQ2: What are the root causes of OCBugs?
RQ3: What are the triggering conditions of OCBugs?
bzw. (aus den oberen RQs wurde ein Tool entiwckelt und mit den folgenden RQs untersucht)
• RQ1: How effective is PARACHUTE in detecting
known OCBugs? This question examines the recall of
PARACHUTE by calculating the percentage of bugs that
can be detected among all known bugs.
• RQ2: How effective is PARACHUTE in detecting unknown OCBugs? This question evaluates the precision
of PARACHUTE by calculating the percentage of true
positives among all reported bugs.
• RQ3: Can PARACHUTE outperform the state-of-the-art
tool for detecting configuration update bugs? This question compares PARACHUTE with Staccato, the most related work for detecting OCBugs.",,,"Teng Wang, Zhouyang Jia, Shanshan Li, Si Zheng, Yue Yu, Erci Xu, Shaoliang Peng, Liao Xiangke",No URL available
Testing and analysis,Evaluation,-1,1,,TRUE,-,ProveNFix: Temporal Property guided Program Repair,"RQ1: What is the effectiveness and efficiency of ProveNFix compared to Infer? 
• RQ2: What is the performance of ProveNFix in fixing memory usage bugs compared to SAVER, and fixing resource leaks compared to FootPatch? 
• RQ3:CanProveNFixautomaticallyfind/fixgeneralizedtemporalbugs,suchasuncheckedreturn values and properties involving execution orders, that prior works either cannot find or fix? 
• RQ4:Is it practical to use ProveNFix as a specification inference tool to find desirable behaviors of internet-facing protocol implementations?",,,"Yahui Song, Xiang Gao, Wenhua Li, Wei-Ngan Chin, Abhik Roychoudhury",No URL available
Testing and analysis,Evaluation,0,0,,FALSE,B4,PyTy: Repairing Static Type Errors in Python,"RQ1 Howeffective is our automated data gathering at producing minimal code changes that fix type errors? 
RQ2 Howeffective is PyTy at fixing type errors? 
RQ3 Howdovariants of PyTy compare to the full approach? 
RQ4 Howdoes PyTy compare to state-of-the-art APR techniques?",,,"Yiu Wai Chow, Luca Di Grazia, Michael Pradel",No URL available
